"CD_MUN";"NM_MUN";"V00748";"V00749";"V00750";"V00751";"V00752";"V00753";"V00754";"V00755";"V00756";"V00757";"V00758";"V00759";"V00760"
"3300100";"Angra dos Reis";"11479";"12119";"12190";"12007";"13112";"13804";"11077";"9938";"9261";"8051";"6073";"5963";"1718"
"3300159";"Aperibé";"685";"721";"686";"773";"797";"842";"733";"713";"734";"579";"510";"541";"226"
"3300209";"Araruama";"8483";"8387";"7880";"8030";"8742";"9686";"8467";"8363";"7834";"7575";"6148";"7393";"2979"
"3300225";"Areal";"751";"856";"843";"863";"778";"831";"729";"741";"698";"615";"469";"568";"235"
"3300233";"Armação dos Búzios";"2582";"2721";"2930";"3012";"3123";"3672";"2790";"2644";"2310";"1978";"1435";"1380";"439"
"3300258";"Arraial do Cabo";"1968";"2110";"2063";"2074";"2076";"2336";"1953";"1998";"2104";"1962";"1544";"1584";"601"
"3300308";"Barra do Piraí";"5974";"6363";"5990";"5968";"6486";"6987";"5897";"5876";"6069";"5669";"4530";"5104";"2138"
"3300407";"Barra Mansa";"10397";"11833";"11447";"11500";"12383";"12993";"11585";"11250";"11405";"10294";"8123";"8996";"3437"
"3300456";"Belford Roxo";"32635";"37205";"36206";"35362";"36092";"39014";"34213";"31670";"26598";"22168";"17013";"17538";"5645"
"3300506";"Bom Jardim";"1778";"1968";"1883";"2011";"1968";"2134";"1854";"1669";"1608";"1285";"1108";"1204";"453"
"3300605";"Bom Jesus do Itabapoana";"2144";"2376";"2349";"2359";"2335";"2425";"2147";"2141";"2159";"1926";"1487";"1723";"824"
"3300704";"Cabo Frio";"14608";"15262";"15235";"14827";"15988";"16857";"14805";"14063";"13580";"12323";"9923";"10860";"3854"
"3300803";"Cachoeiras de Macacu";"3580";"3872";"3957";"3892";"3893";"4243";"3825";"3593";"3377";"3019";"2282";"2571";"895"
"3300902";"Cambuci";"887";"937";"830";"881";"984";"1067";"936";"977";"950";"838";"683";"808";"314"
"3300936";"Carapebus";"969";"845";"918";"919";"999";"998";"961";"864";"777";"693";"470";"593";"185"
"3300951";"Comendador Levy Gasparian";"589";"590";"614";"582";"571";"624";"557";"581";"577";"490";"353";"425";"159"
"3301009";"Campos dos Goytacazes";"32694";"35825";"34882";"35012";"35432";"35863";"29730";"27785";"26976";"24144";"17922";"21001";"8944"
"3301108";"Cantagalo";"1244";"1277";"1121";"1289";"1274";"1461";"1176";"1259";"1184";"1013";"762";"995";"443"
"3301157";"Cardoso Moreira";"819";"823";"758";"827";"866";"937";"803";"794";"673";"585";"522";"630";"265"
"3301207";"Carmo";"1095";"1164";"1046";"1068";"1219";"1327";"1114";"1113";"1086";"949";"822";"856";"371"
"3301306";"Casimiro de Abreu";"3119";"3080";"3032";"3128";"3475";"3631";"3046";"2885";"2642";"2254";"1818";"1909";"684"
"3301405";"Conceição de Macabu";"1437";"1339";"1447";"1392";"1410";"1538";"1263";"1268";"1332";"1048";"775";"893";"369"
"3301504";"Cordeiro";"1298";"1380";"1352";"1399";"1536";"1556";"1335";"1324";"1331";"1130";"937";"1151";"505"
"3301603";"Duas Barras";"743";"744";"695";"718";"782";"770";"701";"626";"636";"519";"378";"444";"151"
"3301702";"Duque de Caxias";"55495";"61390";"59831";"58068";"58568";"62710";"53336";"51432";"46565";"40002";"31083";"32152";"11380"
"3301801";"Engenheiro Paulo de Frontin";"700";"794";"773";"799";"790";"872";"807";"815";"806";"749";"633";"703";"290"
"3301850";"Guapimirim";"3605";"3826";"3750";"3702";"3867";"3960";"3348";"3180";"2720";"2473";"1936";"2106";"733"
"3301876";"Iguaba Grande";"1735";"1766";"1623";"1584";"1831";"2041";"1815";"1774";"1835";"1748";"1621";"1970";"796"
"3301900";"Itaboraí";"14447";"15580";"15761";"15825";"16564";"18236";"16013";"14543";"13022";"11278";"8509";"8899";"2816"
"3302007";"Itaguaí";"8157";"8803";"8542";"8216";"8720";"9307";"7365";"7070";"6157";"5482";"4245";"4595";"1500"
