"CD_MUN";"NM_MUN";"V00748";"V00749";"V00750";"V00751";"V00752";"V00753";"V00754";"V00755";"V00756";"V00757";"V00758";"V00759";"V00760"
"1100015";"Alta Floresta D'Oeste";"1636";"1496";"1537";"1613";"1479";"1520";"1437";"1236";"1066";"860";"584";"544";"206"
"1100023";"Ariquemes";"7587";"8111";"7990";"7581";"7627";"7200";"6295";"5374";"4407";"3253";"2233";"2175";"696"
"1100031";"Cabixi";"364";"241";"302";"364";"388";"405";"321";"376";"306";"262";"194";"187";"71"
"1100049";"Cacoal";"6222";"7209";"7220";"6944";"6783";"6597";"5565";"5027";"4200";"3376";"2331";"2287";"755"
"1100056";"Cerejeiras";"1126";"1025";"1258";"1265";"1204";"1113";"1044";"871";"824";"625";"439";"472";"169"
"1100064";"Colorado do Oeste";"1072";"1025";"1080";"1055";"1150";"1157";"1104";"939";"910";"641";"509";"540";"150"
"1100072";"Corumbiara";"522";"487";"519";"577";"587";"566";"517";"489";"435";"334";"199";"190";"43"
"1100080";"Costa Marques";"1156";"986";"896";"873";"917";"859";"809";"603";"582";"366";"264";"260";"86"
"1100098";"Espigão D'Oeste";"2211";"2230";"2120";"2271";"2336";"2237";"1907";"1651";"1368";"1062";"723";"726";"263"
"1100106";"Guajará-Mirim";"3475";"3047";"2762";"2646";"2668";"2685";"2316";"1944";"1712";"1190";"810";"930";"307"
"1100114";"Jaru";"3707";"3971";"4018";"3848";"3982";"3971";"3266";"2886";"2260";"1714";"1274";"1365";"438"
"1100122";"Ji-Paraná";"9330";"9514";"10029";"10010";"9980";"9448";"7893";"7127";"6025";"4645";"3365";"3142";"1068"
"1100130";"Machadinho D'Oeste";"2466";"2082";"2184";"2298";"2353";"2393";"1978";"1605";"1331";"1051";"741";"664";"124"
"1100148";"Nova Brasilândia D'Oeste";"1193";"1084";"1137";"1141";"1229";"1202";"1141";"957";"730";"636";"434";"458";"143"
"1100155";"Ouro Preto do Oeste";"2446";"2432";"2507";"2598";"2736";"2708";"2203";"2164";"1936";"1491";"1028";"1179";"432"
"1100189";"Pimenta Bueno";"2620";"2796";"2721";"2662";"2695";"2647";"2257";"1968";"1697";"1302";"974";"847";"267"
"1100205";"Porto Velho";"35294";"37582";"37882";"37460";"38473";"35274";"28813";"24833";"21266";"16298";"11047";"10201";"3193"
"1100254";"Presidente Médici";"1331";"1185";"1264";"1247";"1378";"1435";"1329";"1250";"1166";"991";"724";"731";"252"
"1100262";"Rio Crespo";"263";"235";"233";"228";"275";"256";"237";"213";"197";"146";"95";"90";"27"
"1100288";"Rolim de Moura";"4019";"4527";"4622";"4610";"4381";"4213";"3597";"3332";"2729";"2103";"1503";"1460";"456"
"1100296";"Santa Luzia D'Oeste";"501";"415";"460";"505";"504";"575";"509";"545";"448";"334";"243";"249";"82"
"1100304";"Vilhena";"7199";"7688";"7739";"8099";"7913";"7440";"6170";"5491";"4417";"3322";"2362";"2294";"667"
"1100320";"São Miguel do Guaporé";"1617";"1657";"1714";"1667";"1642";"1645";"1447";"1191";"1068";"747";"522";"485";"116"
"1100338";"Nova Mamoré";"2191";"1985";"1851";"1831";"1849";"1875";"1510";"1199";"1033";"667";"467";"407";"97"
"1100346";"Alvorada D'Oeste";"928";"853";"882";"867";"902";"1008";"821";"848";"721";"553";"401";"373";"115"
"1100379";"Alto Alegre dos Parecis";"876";"731";"843";"825";"841";"812";"743";"711";"560";"388";"295";"278";"76"
"1100403";"Alto Paraíso";"1282";"1273";"1149";"1135";"1178";"1173";"1082";"963";"787";"583";"405";"421";"129"
"1100452";"Buritis";"2334";"2161";"2089";"2049";"2225";"2138";"1790";"1474";"1220";"913";"676";"570";"135"
"1100502";"Novo Horizonte do Oeste";"534";"452";"524";"499";"563";"556";"547";"508";"439";"349";"284";"208";"72"
"1100601";"Cacaulândia";"285";"254";"280";"295";"307";"278";"243";"201";"227";"150";"105";"120";"38"
"1100700";"Campo Novo de Rondônia";"720";"606";"574";"593";"629";"662";"610";"547";"456";"301";"204";"179";"30"
"1100809";"Candeias do Jamari";"1835";"1775";"1723";"1559";"1660";"1567";"1287";"1101";"936";"723";"522";"490";"118"
"1100908";"Castanheiras";"205";"172";"229";"214";"207";"242";"245";"199";"207";"146";"103";"102";"42"
"1100924";"Chupinguaia";"744";"697";"761";"729";"765";"704";"585";"468";"350";"252";"150";"128";"22"
"1100940";"Cujubim";"1189";"1123";"1140";"1106";"1178";"1200";"923";"788";"583";"396";"304";"222";"41"
"1101005";"Governador Jorge Teixeira";"573";"544";"525";"547";"562";"576";"540";"484";"402";"297";"225";"232";"58"
"1101104";"Itapuã do Oeste";"686";"644";"601";"608";"628";"586";"479";"430";"348";"276";"203";"168";"43"
"1101203";"Ministro Andreazza";"496";"447";"401";"383";"457";"464";"513";"429";"351";"256";"204";"198";"63"
"1101302";"Mirante da Serra";"692";"644";"638";"580";"678";"672";"672";"513";"486";"364";"303";"266";"66"
"1101401";"Monte Negro";"916";"816";"792";"732";"853";"857";"781";"653";"567";"431";"306";"309";"93"
"1101435";"Nova União";"479";"408";"408";"404";"465";"465";"455";"382";"325";"238";"171";"162";"42"
"1101450";"Parecis";"310";"297";"266";"304";"300";"301";"280";"244";"215";"126";"79";"95";"20"
"1101468";"Pimenteiras do Oeste";"161";"123";"144";"148";"162";"151";"149";"109";"96";"87";"47";"60";"12"
"1101476";"Primavera de Rondônia";"185";"165";"173";"200";"242";"233";"211";"188";"167";"136";"100";"79";"26"
"1101484";"São Felipe D'Oeste";"360";"258";"309";"370";"361";"436";"358";"355";"343";"247";"192";"185";"70"
"1101492";"São Francisco do Guaporé";"1276";"1186";"1295";"1316";"1228";"1167";"1025";"801";"664";"511";"333";"307";"66"
"1101500";"Seringueiras";"894";"832";"873";"851";"809";"781";"690";"671";"584";"440";"287";"224";"86"
"1101559";"Teixeirópolis";"311";"290";"258";"245";"296";"344";"277";"278";"258";"193";"129";"160";"60"
"1101609";"Theobroma";"579";"442";"452";"478";"577";"658";"574";"527";"466";"396";"246";"237";"61"
"1101708";"Urupá";"802";"733";"738";"762";"805";"773";"744";"599";"553";"435";"340";"325";"97"
"1101757";"Vale do Anari";"561";"449";"500";"503";"570";"580";"539";"472";"399";"303";"204";"205";"32"
"1101807";"Vale do Paraíso";"467";"405";"413";"374";"462";"541";"431";"469";"360";"265";"220";"234";"71"
"1200013";"Acrelândia";"1263";"1150";"1028";"977";"938";"954";"687";"566";"469";"375";"257";"235";"66"
"1200054";"Assis Brasil";"757";"592";"587";"555";"488";"445";"344";"262";"173";"157";"85";"71";"18"
"1200104";"Brasiléia";"2218";"2325";"2074";"2000";"1779";"1695";"1310";"1151";"855";"583";"417";"411";"141"
"1200138";"Bujari";"1164";"1005";"891";"769";"787";"802";"612";"510";"379";"283";"178";"162";"34"
"1200179";"Capixaba";"963";"831";"714";"595";"655";"592";"519";"452";"377";"274";"169";"185";"31"
