"fmun_cod";"fmun";"ano";"total_roubos";"total_furtos";"registro_ocorrencias"
"3300100";"Angra dos Reis";"2021";"179";"573";"4817"
"3300159";"Aperibé";"2021";"7";"25";"255"
"3300209";"Araruama";"2021";"320";"932";"5515"
"3300225";"Areal";"2021";"1";"22";"277"
"3300233";"Armação dos Búzios";"2021";"92";"354";"1952"
"3300258";"Arraial do Cabo";"2021";"28";"216";"1436"
"3300308";"Barra do Piraí";"2021";"43";"185";"2791"
"3300407";"Barra Mansa";"2021";"146";"683";"5435"
"3300456";"Belford Roxo";"2021";"4101";"1159";"11925"
"3300506";"Bom Jardim";"2021";"7";"59";"660"
"3300605";"Bom Jesus do Itabapoana";"2021";"8";"118";"956"
"3300704";"Cabo Frio";"2021";"545";"1371";"7177"
"3300803";"Cachoeiras de Macacu";"2021";"64";"142";"1253"
"3300902";"Cambuci";"2021";"0";"62";"466"
"3300936";"Carapebus";"2021";"14";"46";"296"
"3300951";"Comendador Levy Gasparian";"2021";"1";"19";"253"
"3301009";"Campos dos Goytacazes";"2021";"1006";"2182";"11918"
"3301108";"Cantagalo";"2021";"3";"39";"554"
"3301157";"Cardoso Moreira";"2021";"2";"47";"330"
"3301207";"Carmo";"2021";"8";"54";"763"
"3301306";"Casimiro de Abreu";"2021";"88";"179";"1409"
"3301405";"Conceição de Macabu";"2021";"20";"62";"547"
"3301504";"Cordeiro";"2021";"6";"62";"783"
"3301603";"Duas Barras";"2021";"1";"33";"438"
"3301702";"Duque de Caxias";"2021";"9595";"4082";"28575"
"3301801";"Engenheiro Paulo de Frontin";"2021";"5";"34";"503"
"3301850";"Guapimirim";"2021";"144";"218";"1721"
"3301876";"Iguaba Grande";"2021";"93";"185";"1028"
"3301900";"Itaboraí";"2021";"1369";"971";"5432"
"3302007";"Itaguaí";"2021";"494";"898";"4591"
"3302056";"Italva";"2021";"3";"66";"360"
"3302106";"Itaocara";"2021";"9";"82";"838"
"3302205";"Itaperuna";"2021";"28";"322";"3088"
"3302254";"Itatiaia";"2021";"33";"153";"1538"
"3302270";"Japeri";"2021";"383";"319";"2406"
"3302304";"Laje do Muriaé";"2021";"0";"34";"240"
"3302403";"Macaé";"2021";"505";"1076";"6507"
"3302452";"Macuco";"2021";"2";"16";"158"
"3302502";"Magé";"2021";"628";"1008";"6641"
"3302601";"Mangaratiba";"2021";"62";"290";"1852"
"3302700";"Maricá";"2021";"638";"965";"5859"
"3302809";"Mendes";"2021";"2";"77";"732"
"3302858";"Mesquita";"2021";"1705";"718";"5451"
"3302908";"Miguel Pereira";"2021";"7";"98";"1293"
"3303005";"Miracema";"2021";"5";"79";"1299"
"3303104";"Natividade";"2021";"2";"61";"523"
"3303203";"Nilópolis";"2021";"1684";"926";"5655"
"3303302";"Niterói";"2021";"2706";"4436";"22454"
"3303401";"Nova Friburgo";"2021";"65";"502";"5238"
"3303500";"Nova Iguaçu";"2021";"6638";"3579";"25115"
"3303609";"Paracambi";"2021";"61";"164";"1389"
"3303708";"Paraíba do Sul";"2021";"14";"98";"1239"
"3303807";"Paraty";"2021";"48";"199";"1697"
"3303856";"Paty do Alferes";"2021";"3";"79";"825"
"3303906";"Petrópolis";"2021";"193";"1241";"8835"
"3303955";"Pinheiral";"2021";"15";"93";"774"
"3304003";"Piraí";"2021";"24";"150";"1012"
"3304102";"Porciúncula";"2021";"2";"88";"713"
"3304110";"Porto Real";"2021";"10";"72";"723"
"3304128";"Quatis";"2021";"7";"36";"284"
"3304144";"Queimados";"2021";"1018";"725";"4685"
"3304151";"Quissamã";"2021";"33";"126";"818"
"3304201";"Resende";"2021";"101";"538";"5100"
"3304300";"Rio Bonito";"2021";"103";"314";"1635"
"3304409";"Rio Claro";"2021";"6";"55";"555"
"3304508";"Rio das Flores";"2021";"0";"23";"282"
"3304524";"Rio das Ostras";"2021";"567";"1253";"6826"
"3304557";"Rio de Janeiro";"2021";"63129";"67913";"299781"
"3304607";"Santa Maria Madalena";"2021";"3";"27";"320"
"3304706";"Santo Antônio de Pádua";"2021";"20";"152";"1396"
"3304755";"São Francisco de Itabapoana";"2021";"37";"293";"1285"
"3304805";"São Fidélis";"2021";"12";"186";"1157"
"3304904";"São Gonçalo";"2021";"9772";"3999";"26533"
"3305000";"São João da Barra";"2021";"56";"358";"1395"
"3305109";"São João de Meriti";"2021";"5465";"2096";"16471"
"3305133";"São José de Ubá";"2021";"3";"6";"112"
"3305158";"São José do Vale do Rio Preto";"2021";"1";"74";"575"
"3305208";"São Pedro da Aldeia";"2021";"216";"456";"2844"
"3305307";"São Sebastião do Alto";"2021";"1";"14";"183"
"3305406";"Sapucaia";"2021";"8";"65";"583"
"3305505";"Saquarema";"2021";"183";"543";"3105"
"3305554";"Seropédica";"2021";"308";"273";"2151"
"3305604";"Silva Jardim";"2021";"42";"99";"677"
"3305703";"Sumidouro";"2021";"1";"24";"443"
"3305752";"Tanguá";"2021";"80";"126";"657"
"3305802";"Teresópolis";"2021";"73";"705";"5409"
"3305901";"Trajano de Moraes";"2021";"3";"13";"304"
"3306008";"Três Rios";"2021";"80";"441";"3565"
"3306107";"Valença";"2021";"15";"239";"2286"
"3306156";"Varre-Sai";"2021";"2";"25";"207"
"3306206";"Vassouras";"2021";"12";"101";"1283"
"3306305";"Volta Redonda";"2021";"421";"1321";"9140"
